public_username,video_a,video_b,criteria,score,score_max,week_date
.,AKIj_8v5vO8,X0DcdUMWiNs,largely_recommended,-8,10,2023-05-22
.,ZryeHrL-ncg,8gubsr_Tvak,largely_recommended,7,10,2023-05-22
0,xdk2Sargd3o,KyeJTbFCSv0,largely_recommended,-5,10,2023-01-09
0,xdk2Sargd3o,cCi9Iwj55EU,largely_recommended,0,10,2023-01-09
0,SddHqBSHNmI,cCi9Iwj55EU,largely_recommended,-3,10,2023-01-09
0,cCi9Iwj55EU,qtAvaE2YxV0,largely_recommended,-5,10,2023-09-04
0,lYXQvHhfKuM,CUFTeO8xRsk,largely_recommended,2,10,2023-09-04
0,B8fQyuB0ytE,ReQzu4NHS4Q,largely_recommended,-6,10,2024-08-05
0b11stan,lj_Gsq78VvA,ebEkn-BiW5k,largely_recommended,2,10,2022-09-05
0b11stan,lj_Gsq78VvA,pt9YCVX7VOk,largely_recommended,1,10,2022-09-05
0b11stan,RilwnjDwTOc,pt9YCVX7VOk,largely_recommended,-5,10,2022-09-05
0b11stan,RilwnjDwTOc,sxYrzzy3cq8,largely_recommended,-1,10,2022-09-05
0-bit,npNXJJzbpJI,zmCl5i_sEiM,largely_recommended,0,10,2022-04-11
0-bit,kRc45ySGUaE,npNXJJzbpJI,largely_recommended,10,10,2022-04-11
0l1v,udSiluTAOaQ,mkmL6s0g9Hk,largely_recommended,1,10,2024-09-02
0l1v,scEK1aeg5co,a1538GVBxJQ,largely_recommended,10,10,2024-09-02
0l1v,cb1qP50Erok,a1538GVBxJQ,largely_recommended,5,10,2024-09-02
0rdinary3hris,DeTK0Fg0n_M,yPnkigBFN9I,largely_recommended,0,10,2025-03-03
0xPwC,OQakH5xzD3A,gKgH60hFoRU,largely_recommended,1,10,2024-04-22
0xPwC,aFsfJYWpqII,YtcvdS3qWBw,largely_recommended,-7,10,2024-04-22
0xPwC,RMJz3nVE-78,Kbxxbs7emZw,largely_recommended,-7,10,2024-04-22
0xPwC,aqGIrJC5j60,ihaB8AFOhZo,largely_recommended,3,10,2024-05-06
10000,GceLHVV9Z4s,YlAkijglztg,largely_recommended,4,10,2023-03-06
10sciple,OmIYzIkHiaA,8ysjQYvgyCc,largely_recommended,-2,10,2023-04-10
10sciple,OmIYzIkHiaA,GWOgO_ZTqVc,largely_recommended,5,10,2023-04-10
10sciple,yS7GKZaMKAk,OmIYzIkHiaA,largely_recommended,4,10,2023-04-10
10sciple,JWFW8oU6JN0,OmIYzIkHiaA,largely_recommended,3,10,2023-04-10
10sciple,znFXZbqhl-s,PN8-fBE50Yg,largely_recommended,-2,10,2023-04-10
10sciple,HBqv8rx1iZA,znFXZbqhl-s,largely_recommended,5,10,2023-04-10
10sciple,NQvh5_m7_-4,Sm_FgccC9dk,largely_recommended,3,10,2023-04-10
10sciple,NQvh5_m7_-4,znFXZbqhl-s,largely_recommended,4,10,2023-04-10
10sciple,NQvh5_m7_-4,sGLiSLAlwrY,largely_recommended,6,10,2023-04-10
10sciple,RozdHTNC6uQ,znFXZbqhl-s,largely_recommended,4,10,2023-04-17
10sciple,3ZUY_lCbFL8,V6x9bXTU0vY,largely_recommended,-3,10,2023-12-04
10sciple,3ZUY_lCbFL8,JWFW8oU6JN0,largely_recommended,-3,10,2023-12-04
10sciple,3ZUY_lCbFL8,d7KtC-5Garw,largely_recommended,2,10,2023-12-04
10sciple,3ZUY_lCbFL8,NoHrpeGJpr8,largely_recommended,-2,10,2023-12-04
10sciple,3ZUY_lCbFL8,2Iz9HCcrXNI,largely_recommended,1,10,2023-12-04
10sciple,3ZUY_lCbFL8,xFoJzjfMaIo,largely_recommended,-8,10,2023-12-04
